case,seed,step,x,y,heading,d_heading,theta_u_policy,v_ratio_policy,omega_intent,v_intent,omega_exec,v_exec,v_ratio_exec,v_ratio_cap,max_vel_cap_phys,kappa,e_n,contour_error,reward
open_line,42,1,0.003000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.030000000000000006,0.030000000000000006,1.0,1.0,0.0,0.0,0.0,-3.9653999999999985
open_line,42,2,0.012000000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09000000000000002,0.09000000000000002,1.0,1.0,0.0,0.0,0.0,-3.1085999999999983
open_line,42,3,0.03000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.18000000000000005,0.18000000000000005,1.0,1.0,0.0,0.0,0.0,-1.9043999999999999
open_line,42,4,0.06000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.30000000000000004,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,-0.4499999999999996
open_line,42,5,0.10500000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45000000000000007,0.45000000000000007,1.0,1.0,0.0,0.0,0.0,1.1250000000000009
open_line,42,6,0.16800000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6300000000000001,0.6300000000000001,1.0,1.0,0.0,0.0,0.0,2.6586
open_line,42,7,0.25100000000000006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8300000000000001,0.8300000000000001,1.0,1.0,0.0,0.0,0.0,5.239933333333338
open_line,42,8,0.3510000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
open_line,42,9,0.45100000000000007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
open_line,42,10,0.551,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
open_line,42,11,0.651,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
open_line,42,12,0.751,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
open_line,42,13,0.851,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.59
